"备焙喊(1)","己喊(1)","楷飞喊(1)",楷飞喊(2),2021
"吝备","巢磊","45 ~ 49技",46技,520
"吝备","巢磊","45 ~ 49技",47技,551
"吝备","巢磊","45 ~ 49技",48技,556
"吝备","巢磊","45 ~ 49技",49技,604
"吝备","巢磊","50 ~ 54技",家拌,2803
"吝备","巢磊","50 ~ 54技",50技,566
"吝备","巢磊","50 ~ 54技",51技,588
"吝备","巢磊","50 ~ 54技",52技,551
"吝备","巢磊","50 ~ 54技",53技,548
"吝备","巢磊","50 ~ 54技",54技,550
"吝备","巢磊","55 ~ 59技",家拌,2597
"吝备","巢磊","55 ~ 59技",55技,469
"吝备","巢磊","55 ~ 59技",56技,538
"吝备","巢磊","55 ~ 59技",57技,502
"吝备","巢磊","55 ~ 59技",58技,549
"吝备","巢磊","55 ~ 59技",59技,539
"吝备","巢磊","60 ~ 64技",家拌,2673
"吝备","巢磊","60 ~ 64技",60技,564
"吝备","巢磊","60 ~ 64技",61技,613
"吝备","巢磊","60 ~ 64技",62技,514
"吝备","巢磊","60 ~ 64技",63技,505
"吝备","巢磊","60 ~ 64技",64技,477
"吝备","巢磊","65 ~ 69技",家拌,2007
"吝备","巢磊","65 ~ 69技",65技,462
"吝备","巢磊","65 ~ 69技",66技,450
"吝备","巢磊","65 ~ 69技",67技,375
"吝备","巢磊","65 ~ 69技",68技,357
"吝备","巢磊","65 ~ 69技",69技,363
"吝备","巢磊","70 ~ 74技",家拌,1644
"吝备","巢磊","70 ~ 74技",70技,287
"吝备","巢磊","70 ~ 74技",71技,360
"吝备","巢磊","70 ~ 74技",72技,322
"吝备","巢磊","70 ~ 74技",73技,354
"吝备","巢磊","70 ~ 74技",74技,321
"吝备","巢磊","75 ~ 79技",家拌,1308
"吝备","巢磊","75 ~ 79技",75技,199
"吝备","巢磊","75 ~ 79技",76技,247
"吝备","巢磊","75 ~ 79技",77技,279
"吝备","巢磊","75 ~ 79技",78技,294
"吝备","巢磊","75 ~ 79技",79技,289
"吝备","巢磊","80 ~ 84技",家拌,819
"吝备","巢磊","80 ~ 84技",80技,207
"吝备","巢磊","80 ~ 84技",81技,182
"吝备","巢磊","80 ~ 84技",82技,179
"吝备","巢磊","80 ~ 84技",83技,132
"吝备","巢磊","80 ~ 84技",84技,119
"吝备","巢磊","85 ~ 89技",家拌,341
"吝备","巢磊","85 ~ 89技",85技,104
"吝备","巢磊","85 ~ 89技",86技,91
"吝备","巢磊","85 ~ 89技",87技,63
"吝备","巢磊","85 ~ 89技",88技,43
"吝备","巢磊","85 ~ 89技",89技,40
"吝备","巢磊","90 ~ 94技",家拌,76
"吝备","巢磊","90 ~ 94技",90技,25
"吝备","巢磊","90 ~ 94技",91技,16
"吝备","巢磊","90 ~ 94技",92技,15
"吝备","巢磊","90 ~ 94技",93技,14
"吝备","巢磊","90 ~ 94技",94技,6
"吝备","巢磊","95技 捞惑",家拌,14
"吝备","咯磊","拌",家拌,38884
"吝备","咯磊","0 ~ 4技",家拌,1114
"吝备","咯磊","0 ~ 4技",0技,186
"吝备","咯磊","0 ~ 4技",1技,191
"吝备","咯磊","0 ~ 4技",2技,213
"吝备","咯磊","0 ~ 4技",3技,244
"吝备","咯磊","0 ~ 4技",4技,280
"吝备","咯磊","5 ~ 9技",家拌,1344
"吝备","咯磊","5 ~ 9技",5技,270
"吝备","咯磊","5 ~ 9技",6技,304
"吝备","咯磊","5 ~ 9技",7技,257
"吝备","咯磊","5 ~ 9技",8技,276
"吝备","咯磊","5 ~ 9技",9技,237
"吝备","咯磊","10 ~ 14技",家拌,1129
"吝备","咯磊","10 ~ 14技",10技,261
"吝备","咯磊","10 ~ 14技",11技,205
"吝备","咯磊","10 ~ 14技",12技,215
"吝备","咯磊","10 ~ 14技",13技,246
"吝备","咯磊","10 ~ 14技",14技,202
"吝备","咯磊","15 ~ 19技",家拌,1327
"吝备","咯磊","15 ~ 19技",15技,230
"吝备","咯磊","15 ~ 19技",16技,239
"吝备","咯磊","15 ~ 19技",17技,278
"吝备","咯磊","15 ~ 19技",18技,278
"吝备","咯磊","15 ~ 19技",19技,302
"吝备","咯磊","20 ~ 24技",家拌,2570
"吝备","咯磊","20 ~ 24技",20技,368
"吝备","咯磊","20 ~ 24技",21技,457
"吝备","咯磊","20 ~ 24技",22技,513
"吝备","咯磊","20 ~ 24技",23技,577
"吝备","咯磊","20 ~ 24技",24技,655
"吝备","咯磊","25 ~ 29技",家拌,3409
"吝备","咯磊","25 ~ 29技",25技,662
"吝备","咯磊","25 ~ 29技",26技,725
"吝备","咯磊","25 ~ 29技",27技,667
"吝备","咯磊","25 ~ 29技",28技,707
"吝备","咯磊","25 ~ 29技",29技,648
"吝备","咯磊","30 ~ 34技",家拌,2702
"吝备","咯磊","30 ~ 34技",30技,610
"吝备","咯磊","30 ~ 34技",31技,567
"吝备","咯磊","30 ~ 34技",32技,539
"吝备","咯磊","30 ~ 34技",33技,461
"吝备","咯磊","30 ~ 34技",34技,525
"吝备","咯磊","35 ~ 39技",家拌,2632
"吝备","咯磊","35 ~ 39技",35技,514
"吝备","咯磊","35 ~ 39技",36技,469
"吝备","咯磊","35 ~ 39技",37技,518
"吝备","咯磊","35 ~ 39技",38技,575
"吝备","咯磊","35 ~ 39技",39技,556
"吝备","咯磊","40 ~ 44技",家拌,2457
"吝备","咯磊","40 ~ 44技",40技,549
"吝备","咯磊","40 ~ 44技",41技,548
"吝备","咯磊","40 ~ 44技",42技,467
"吝备","咯磊","40 ~ 44技",43技,405
"吝备","咯磊","40 ~ 44技",44技,488
"吝备","咯磊","45 ~ 49技",家拌,2687
"吝备","咯磊","45 ~ 49技",45技,488
"吝备","咯磊","45 ~ 49技",46技,513
"吝备","咯磊","45 ~ 49技",47技,565
"吝备","咯磊","45 ~ 49技",48技,572
"吝备","咯磊","45 ~ 49技",49技,549
"吝备","咯磊","50 ~ 54技",家拌,2842
"吝备","咯磊","50 ~ 54技",50技,615
"吝备","咯磊","50 ~ 54技",51技,587
"吝备","咯磊","50 ~ 54技",52技,547
"吝备","咯磊","50 ~ 54技",53技,543
"吝备","咯磊","50 ~ 54技",54技,550
"吝备","咯磊","55 ~ 59技",家拌,2727
"吝备","咯磊","55 ~ 59技",55技,543
"吝备","咯磊","55 ~ 59技",56技,533
"吝备","咯磊","55 ~ 59技",57技,518
"吝备","咯磊","55 ~ 59技",58技,570
"吝备","咯磊","55 ~ 59技",59技,563
"吝备","咯磊","60 ~ 64技",家拌,2947
"吝备","咯磊","60 ~ 64技",60技,651
"吝备","咯磊","60 ~ 64技",61技,636
"吝备","咯磊","60 ~ 64技",62技,571
"吝备","咯磊","60 ~ 64技",63技,539
"吝备","咯磊","60 ~ 64技",64技,550
"吝备","咯磊","65 ~ 69技",家拌,2571
"吝备","咯磊","65 ~ 69技",65技,566
"吝备","咯磊","65 ~ 69技",66技,549
"吝备","咯磊","65 ~ 69技",67技,441
"吝备","咯磊","65 ~ 69技",68技,524
"吝备","咯磊","65 ~ 69技",69技,491
"吝备","咯磊","70 ~ 74技",家拌,2249
"吝备","咯磊","70 ~ 74技",70技,395
"吝备","咯磊","70 ~ 74技",71技,443
"吝备","咯磊","70 ~ 74技",72技,516
"吝备","咯磊","70 ~ 74技",73技,455
"吝备","咯磊","70 ~ 74技",74技,440
"吝备","咯磊","75 ~ 79技",家拌,1826
"吝备","咯磊","75 ~ 79技",75技,295
"吝备","咯磊","75 ~ 79技",76技,332
"吝备","咯磊","75 ~ 79技",77技,424
"吝备","咯磊","75 ~ 79技",78技,407
"吝备","咯磊","75 ~ 79技",79技,368
"吝备","咯磊","80 ~ 84技",家拌,1343
"吝备","咯磊","80 ~ 84技",80技,298
"吝备","咯磊","80 ~ 84技",81技,318
"吝备","咯磊","80 ~ 84技",82技,273
"吝备","咯磊","80 ~ 84技",83技,241
"吝备","咯磊","80 ~ 84技",84技,213
"吝备","咯磊","85 ~ 89技",家拌,698
"吝备","咯磊","85 ~ 89技",85技,188
"吝备","咯磊","85 ~ 89技",86技,166
"吝备","咯磊","85 ~ 89技",87技,138
"吝备","咯磊","85 ~ 89技",88技,109
"吝备","咯磊","85 ~ 89技",89技,97
"吝备","咯磊","90 ~ 94技",家拌,249
"吝备","咯磊","90 ~ 94技",90技,80
"吝备","咯磊","90 ~ 94技",91技,53
"吝备","咯磊","90 ~ 94技",92技,50
"吝备","咯磊","90 ~ 94技",93技,34
"吝备","咯磊","90 ~ 94技",94技,32
"吝备","咯磊","95技 捞惑",家拌,61
"悼备","拌","拌",家拌,339429
"悼备","拌","0 ~ 4技",家拌,10832
"悼备","拌","0 ~ 4技",0技,1784
"悼备","拌","0 ~ 4技",1技,1932
"悼备","拌","0 ~ 4技",2技,2130
"悼备","拌","0 ~ 4技",3技,2352
"悼备","拌","0 ~ 4技",4技,2634
"悼备","拌","5 ~ 9技",家拌,14248
"悼备","拌","5 ~ 9技",5技,2826
"悼备","拌","5 ~ 9技",6技,2923
"悼备","拌","5 ~ 9技",7技,2752
"悼备","拌","5 ~ 9技",8技,2851
"悼备","拌","5 ~ 9技",9技,2896
"悼备","拌","10 ~ 14技",家拌,13063
"悼备","拌","10 ~ 14技",10技,2836
"悼备","拌","10 ~ 14技",11技,2573
"悼备","拌","10 ~ 14技",12技,2517
"悼备","拌","10 ~ 14技",13技,2689
"悼备","拌","10 ~ 14技",14技,2448
"悼备","拌","15 ~ 19技",家拌,13259
"悼备","拌","15 ~ 19技",15技,2281
"悼备","拌","15 ~ 19技",16技,2556
"悼备","拌","15 ~ 19技",17技,2591
"悼备","拌","15 ~ 19技",18技,2837
"悼备","拌","15 ~ 19技",19技,2994
"悼备","拌","20 ~ 24技",家拌,18307
"悼备","拌","20 ~ 24技",20技,3369
"悼备","拌","20 ~ 24技",21技,3694
"悼备","拌","20 ~ 24技",22技,3651
"悼备","拌","20 ~ 24技",23技,3656
"悼备","拌","20 ~ 24技",24技,3937
"悼备","拌","25 ~ 29技",家拌,21716
"悼备","拌","25 ~ 29技",25技,4205
"悼备","拌","25 ~ 29技",26技,4171
"悼备","拌","25 ~ 29技",27技,4379
"悼备","拌","25 ~ 29技",28技,4379
"悼备","拌","25 ~ 29技",29技,4582
"悼备","拌","30 ~ 34技",家拌,20913
"悼备","拌","30 ~ 34技",30技,4151
"悼备","拌","30 ~ 34技",31技,4279
"悼备","拌","30 ~ 34技",32技,4114
"悼备","拌","30 ~ 34技",33技,4124
"悼备","拌","30 ~ 34技",34技,4245
"悼备","拌","35 ~ 39技",家拌,23154
"悼备","拌","35 ~ 39技",35技,4114
"悼备","拌","35 ~ 39技",36技,4191
"悼备","拌","35 ~ 39技",37技,4471
"悼备","拌","35 ~ 39技",38技,4976
"悼备","拌","35 ~ 39技",39技,5402
"悼备","拌","40 ~ 44技",家拌,25003
"悼备","拌","40 ~ 44技",40技,5524
"悼备","拌","40 ~ 44技",41技,5319
"悼备","拌","40 ~ 44技",42技,4780
"悼备","拌","40 ~ 44技",43技,4612
"悼备","拌","40 ~ 44技",44技,4768
"悼备","拌","45 ~ 49技",家拌,25760
"悼备","拌","45 ~ 49技",45技,4685
"悼备","拌","45 ~ 49技",46技,4969
"悼备","拌","45 ~ 49技",47技,5291
"悼备","拌","45 ~ 49技",48技,5342
"悼备","拌","45 ~ 49技",49技,5473
"悼备","拌","50 ~ 54技",家拌,27738
"悼备","拌","50 ~ 54技",50技,5445
"悼备","拌","50 ~ 54技",51技,5564
"悼备","拌","50 ~ 54技",52技,5893
"悼备","拌","50 ~ 54技",53技,5576
"悼备","拌","50 ~ 54技",54技,5260
"悼备","拌","55 ~ 59技",家拌,27838
"悼备","拌","55 ~ 59技",55技,5445
"悼备","拌","55 ~ 59技",56技,5507
"悼备","拌","55 ~ 59技",57技,5246
"悼备","拌","55 ~ 59技",58技,5881
"悼备","拌","55 ~ 59技",59技,5759
"悼备","拌","60 ~ 64技",家拌,29306
"悼备","拌","60 ~ 64技",60技,6583
"悼备","拌","60 ~ 64技",61技,6237
"悼备","拌","60 ~ 64技",62技,5829
"悼备","拌","60 ~ 64技",63技,5371
"悼备","拌","60 ~ 64技",64技,5286
"悼备","拌","65 ~ 69技",家拌,23280
"悼备","拌","65 ~ 69技",65技,5205
"悼备","拌","65 ~ 69技",66技,5145
"悼备","拌","65 ~ 69技",67技,4240
"悼备","拌","65 ~ 69技",68技,4297
"悼备","拌","65 ~ 69技",69技,4393
"悼备","拌","70 ~ 74技",家拌,17587
"悼备","拌","70 ~ 74技",70技,3391
"悼备","拌","70 ~ 74技",71技,3781
"悼备","拌","70 ~ 74技",72技,3766
"悼备","拌","70 ~ 74技",73技,3455
"悼备","拌","70 ~ 74技",74技,3194
"悼备","拌","75 ~ 79技",家拌,12478
"悼备","拌","75 ~ 79技",75技,1959
"悼备","拌","75 ~ 79技",76技,2553
"悼备","拌","75 ~ 79技",77技,2543
"悼备","拌","75 ~ 79技",78技,2814
"悼备","拌","75 ~ 79技",79技,2609
"悼备","拌","80 ~ 84技",家拌,9075
"悼备","拌","80 ~ 84技",80技,2262
"悼备","拌","80 ~ 84技",81技,2073
"悼备","拌","80 ~ 84技",82技,1821
"悼备","拌","80 ~ 84技",83技,1544
"悼备","拌","80 ~ 84技",84技,1375
"悼备","拌","85 ~ 89技",家拌,4353
"悼备","拌","85 ~ 89技",85技,1264
"悼备","拌","85 ~ 89技",86技,1068
"悼备","拌","85 ~ 89技",87技,823
"悼备","拌","85 ~ 89技",88技,662
"悼备","拌","85 ~ 89技",89技,536
"悼备","拌","90 ~ 94技",家拌,1254
"悼备","拌","90 ~ 94技",90技,360
"悼备","拌","90 ~ 94技",91技,321
"悼备","拌","90 ~ 94技",92技,232
"悼备","拌","90 ~ 94技",93技,194
"悼备","拌","90 ~ 94技",94技,147
"悼备","拌","95技 捞惑",家拌,265
"悼备","巢磊","拌",家拌,166362
"悼备","巢磊","0 ~ 4技",家拌,5598
"悼备","巢磊","0 ~ 4技",0技,905
"悼备","巢磊","0 ~ 4技",1技,984
"悼备","巢磊","0 ~ 4技",2技,1081
"悼备","巢磊","0 ~ 4技",3技,1236
"悼备","巢磊","0 ~ 4技",4技,1392
"悼备","巢磊","5 ~ 9技",家拌,7267
"悼备","巢磊","5 ~ 9技",5技,1389
"悼备","巢磊","5 ~ 9技",6技,1510
"悼备","巢磊","5 ~ 9技",7技,1394
"悼备","巢磊","5 ~ 9技",8技,1481
"悼备","巢磊","5 ~ 9技",9技,1493
"悼备","巢磊","10 ~ 14技",家拌,6753
"悼备","巢磊","10 ~ 14技",10技,1476
"悼备","巢磊","10 ~ 14技",11技,1361
"悼备","巢磊","10 ~ 14技",12技,1305
"悼备","巢磊","10 ~ 14技",13技,1344
"悼备","巢磊","10 ~ 14技",14技,1267
"悼备","巢磊","15 ~ 19技",家拌,7041
"悼备","巢磊","15 ~ 19技",15技,1211
"悼备","巢磊","15 ~ 19技",16技,1362
"悼备","巢磊","15 ~ 19技",17技,1373
"悼备","巢磊","15 ~ 19技",18技,1481
"悼备","巢磊","15 ~ 19技",19技,1614
"悼备","巢磊","20 ~ 24技",家拌,9789
"悼备","巢磊","20 ~ 24技",20技,1771
"悼备","巢磊","20 ~ 24技",21技,2053
"悼备","巢磊","20 ~ 24技",22技,1961
"悼备","巢磊","20 ~ 24技",23技,1963
"悼备","巢磊","20 ~ 24技",24技,2041
"悼备","巢磊","25 ~ 29技",家拌,11585
"悼备","巢磊","25 ~ 29技",25技,2255
"悼备","巢磊","25 ~ 29技",26技,2247
"悼备","巢磊","25 ~ 29技",27技,2382
"悼备","巢磊","25 ~ 29技",28技,2257
"悼备","巢磊","25 ~ 29技",29技,2444
"悼备","巢磊","30 ~ 34技",家拌,11110
"悼备","巢磊","30 ~ 34技",30技,2202
"悼备","巢磊","30 ~ 34技",31技,2323
"悼备","巢磊","30 ~ 34技",32技,2206
"悼备","巢磊","30 ~ 34技",33技,2172
"悼备","巢磊","30 ~ 34技",34技,2207
"悼备","巢磊","35 ~ 39技",家拌,11982
"悼备","巢磊","35 ~ 39技",35技,2185
"悼备","巢磊","35 ~ 39技",36技,2216
"悼备","巢磊","35 ~ 39技",37技,2344
"悼备","巢磊","35 ~ 39技",38技,2528
"悼备","巢磊","35 ~ 39技",39技,2709
"悼备","巢磊","40 ~ 44技",家拌,12861
"悼备","巢磊","40 ~ 44技",40技,2853
"悼备","巢磊","40 ~ 44技",41技,2734
"悼备","巢磊","40 ~ 44技",42技,2420
"悼备","巢磊","40 ~ 44技",43技,2390
"悼备","巢磊","40 ~ 44技",44技,2464
"悼备","巢磊","45 ~ 49技",家拌,13118
"悼备","巢磊","45 ~ 49技",45技,2446
"悼备","巢磊","45 ~ 49技",46技,2587
"悼备","巢磊","45 ~ 49技",47技,2646
"悼备","巢磊","45 ~ 49技",48技,2728
"悼备","巢磊","45 ~ 49技",49技,2711
"悼备","巢磊","50 ~ 54技",家拌,13518
"悼备","巢磊","50 ~ 54技",50技,2768
"悼备","巢磊","50 ~ 54技",51技,2720
"悼备","巢磊","50 ~ 54技",52技,2833
"悼备","巢磊","50 ~ 54技",53技,2671
"悼备","巢磊","50 ~ 54技",54技,2526
"悼备","巢磊","55 ~ 59技",家拌,13323
"悼备","巢磊","55 ~ 59技",55技,2633
"悼备","巢磊","55 ~ 59技",56技,2610
"悼备","巢磊","55 ~ 59技",57技,2532
"悼备","巢磊","55 ~ 59技",58技,2825
"悼备","巢磊","55 ~ 59技",59技,2723
"悼备","巢磊","60 ~ 64技",家拌,13659
"悼备","巢磊","60 ~ 64技",60技,3127
"悼备","巢磊","60 ~ 64技",61技,2819
"悼备","巢磊","60 ~ 64技",62技,2719
"悼备","巢磊","60 ~ 64技",63技,2534
"悼备","巢磊","60 ~ 64技",64技,2460
"悼备","巢磊","65 ~ 69技",家拌,10600
"悼备","巢磊","65 ~ 69技",65技,2372
"悼备","巢磊","65 ~ 69技",66技,2351
"悼备","巢磊","65 ~ 69技",67技,1909
"悼备","巢磊","65 ~ 69技",68技,1987
"悼备","巢磊","65 ~ 69技",69技,1981
"悼备","巢磊","70 ~ 74技",家拌,7867
"悼备","巢磊","70 ~ 74技",70技,1541
"悼备","巢磊","70 ~ 74技",71技,1712
"悼备","巢磊","70 ~ 74技",72技,1682
"悼备","巢磊","70 ~ 74技",73技,1551
"悼备","巢磊","70 ~ 74技",74技,1381
"悼备","巢磊","75 ~ 79技",家拌,5211
"悼备","巢磊","75 ~ 79技",75技,870
"悼备","巢磊","75 ~ 79技",76技,1056
"悼备","巢磊","75 ~ 79技",77技,1041
"悼备","巢磊","75 ~ 79技",78技,1172
"悼备","巢磊","75 ~ 79技",79技,1072
"悼备","巢磊","80 ~ 84技",家拌,3420
"悼备","巢磊","80 ~ 84技",80技,912
"悼备","巢磊","80 ~ 84技",81技,795
"悼备","巢磊","80 ~ 84技",82技,693
"悼备","巢磊","80 ~ 84技",83技,536
"悼备","巢磊","80 ~ 84技",84技,484
"悼备","巢磊","85 ~ 89技",家拌,1345
"悼备","巢磊","85 ~ 89技",85技,421
"悼备","巢磊","85 ~ 89技",86技,340
"悼备","巢磊","85 ~ 89技",87技,244
"悼备","巢磊","85 ~ 89技",88技,187
"悼备","巢磊","85 ~ 89技",89技,153
"悼备","巢磊","90 ~ 94技",家拌,272
"悼备","巢磊","90 ~ 94技",90技,90
"悼备","巢磊","90 ~ 94技",91技,72
"悼备","巢磊","90 ~ 94技",92技,47
"悼备","巢磊","90 ~ 94技",93技,39
"悼备","巢磊","90 ~ 94技",94技,24
"悼备","巢磊","95技 捞惑",家拌,43
"悼备","咯磊","拌",家拌,173067
"悼备","咯磊","0 ~ 4技",家拌,5234
"悼备","咯磊","0 ~ 4技",0技,879
"悼备","咯磊","0 ~ 4技",1技,948
"悼备","咯磊","0 ~ 4技",2技,1049
"悼备","咯磊","0 ~ 4技",3技,1116
"悼备","咯磊","0 ~ 4技",4技,1242
"悼备","咯磊","5 ~ 9技",家拌,6981
"悼备","咯磊","5 ~ 9技",5技,1437
"悼备","咯磊","5 ~ 9技",6技,1413
"悼备","咯磊","5 ~ 9技",7技,1358
"悼备","咯磊","5 ~ 9技",8技,1370
"悼备","咯磊","5 ~ 9技",9技,1403
"悼备","咯磊","10 ~ 14技",家拌,6310
"悼备","咯磊","10 ~ 14技",10技,1360
"悼备","咯磊","10 ~ 14技",11技,1212
"悼备","咯磊","10 ~ 14技",12技,1212
"悼备","咯磊","10 ~ 14技",13技,1345
"悼备","咯磊","10 ~ 14技",14技,1181
"悼备","咯磊","15 ~ 19技",家拌,6218
"悼备","咯磊","15 ~ 19技",15技,1070
"悼备","咯磊","15 ~ 19技",16技,1194
"悼备","咯磊","15 ~ 19技",17技,1218
"悼备","咯磊","15 ~ 19技",18技,1356
"悼备","咯磊","15 ~ 19技",19技,1380
"悼备","咯磊","20 ~ 24技",家拌,8518
"悼备","咯磊","20 ~ 24技",20技,1598
"悼备","咯磊","20 ~ 24技",21技,1641
"悼备","咯磊","20 ~ 24技",22技,1690
"悼备","咯磊","20 ~ 24技",23技,1693
"悼备","咯磊","20 ~ 24技",24技,1896
"悼备","咯磊","25 ~ 29技",家拌,10131
"悼备","咯磊","25 ~ 29技",25技,1950
"悼备","咯磊","25 ~ 29技",26技,1924
"悼备","咯磊","25 ~ 29技",27技,1997
"悼备","咯磊","25 ~ 29技",28技,2122
"悼备","咯磊","25 ~ 29技",29技,2138
"悼备","咯磊","30 ~ 34技",家拌,9803
"悼备","咯磊","30 ~ 34技",30技,1949
"悼备","咯磊","30 ~ 34技",31技,1956
"悼备","咯磊","30 ~ 34技",32技,1908
"悼备","咯磊","30 ~ 34技",33技,1952
"悼备","咯磊","30 ~ 34技",34技,2038
"悼备","咯磊","35 ~ 39技",家拌,11172
"悼备","咯磊","35 ~ 39技",35技,1929
"悼备","咯磊","35 ~ 39技",36技,1975
"悼备","咯磊","35 ~ 39技",37技,2127
"悼备","咯磊","35 ~ 39技",38技,2448
"悼备","咯磊","35 ~ 39技",39技,2693
"悼备","咯磊","40 ~ 44技",家拌,12142
"悼备","咯磊","40 ~ 44技",40技,2671
"悼备","咯磊","40 ~ 44技",41技,2585
"悼备","咯磊","40 ~ 44技",42技,2360
"悼备","咯磊","40 ~ 44技",43技,2222
"悼备","咯磊","40 ~ 44技",44技,2304
"悼备","咯磊","45 ~ 49技",家拌,12642
"悼备","咯磊","45 ~ 49技",45技,2239
"悼备","咯磊","45 ~ 49技",46技,2382
"悼备","咯磊","45 ~ 49技",47技,2645
"悼备","咯磊","45 ~ 49技",48技,2614
"悼备","咯磊","45 ~ 49技",49技,2762
"悼备","咯磊","50 ~ 54技",家拌,14220
"悼备","咯磊","50 ~ 54技",50技,2677
"悼备","咯磊","50 ~ 54技",51技,2844
"悼备","咯磊","50 ~ 54技",52技,3060
"悼备","咯磊","50 ~ 54技",53技,2905
"悼备","咯磊","50 ~ 54技",54技,2734
"悼备","咯磊","55 ~ 59技",家拌,14515
"悼备","咯磊","55 ~ 59技",55技,2812
"悼备","咯磊","55 ~ 59技",56技,2897
"悼备","咯磊","55 ~ 59技",57技,2714
"悼备","咯磊","55 ~ 59技",58技,3056
"悼备","咯磊","55 ~ 59技",59技,3036
"悼备","咯磊","60 ~ 64技",家拌,15647
"悼备","咯磊","60 ~ 64技",60技,3456
"悼备","咯磊","60 ~ 64技",61技,3418
"悼备","咯磊","60 ~ 64技",62技,3110
"悼备","咯磊","60 ~ 64技",63技,2837
"悼备","咯磊","60 ~ 64技",64技,2826
"悼备","咯磊","65 ~ 69技",家拌,12680
"悼备","咯磊","65 ~ 69技",65技,2833
"悼备","咯磊","65 ~ 69技",66技,2794
"悼备","咯磊","65 ~ 69技",67技,2331
"悼备","咯磊","65 ~ 69技",68技,2310
"悼备","咯磊","65 ~ 69技",69技,2412
"悼备","咯磊","70 ~ 74技",家拌,9720
"悼备","咯磊","70 ~ 74技",70技,1850
"悼备","咯磊","70 ~ 74技",71技,2069
"悼备","咯磊","70 ~ 74技",72技,2084
"悼备","咯磊","70 ~ 74技",73技,1904
"悼备","咯磊","70 ~ 74技",74技,1813
"悼备","咯磊","75 ~ 79技",家拌,7267
"悼备","咯磊","75 ~ 79技",75技,1089
"悼备","咯磊","75 ~ 79技",76技,1497
"悼备","咯磊","75 ~ 79技",77技,1502
"悼备","咯磊","75 ~ 79技",78技,1642
"悼备","咯磊","75 ~ 79技",79技,1537
"悼备","咯磊","80 ~ 84技",家拌,5655
"悼备","咯磊","80 ~ 84技",80技,1350
"悼备","咯磊","80 ~ 84技",81技,1278
"悼备","咯磊","80 ~ 84技",82技,1128
"悼备","咯磊","80 ~ 84技",83技,1008
"悼备","咯磊","80 ~ 84技",84技,891
"悼备","咯磊","85 ~ 89技",家拌,3008
"悼备","咯磊","85 ~ 89技",85技,843
"悼备","咯磊","85 ~ 89技",86技,728
"悼备","咯磊","85 ~ 89技",87技,579
"悼备","咯磊","85 ~ 89技",88技,475
"悼备","咯磊","85 ~ 89技",89技,383
"悼备","咯磊","90 ~ 94技",家拌,982
"悼备","咯磊","90 ~ 94技",90技,270
"悼备","咯磊","90 ~ 94技",91技,249
"悼备","咯磊","90 ~ 94技",92技,185
"悼备","咯磊","90 ~ 94技",93技,155
"悼备","咯磊","90 ~ 94技",94技,123
"悼备","咯磊","95技 捞惑",家拌,222
"辑备","拌","拌",家拌,167866
"辑备","拌","0 ~ 4技",家拌,2985
"辑备","拌","0 ~ 4技",0技,501
"辑备","拌","0 ~ 4技",1技,543
"辑备","拌","0 ~ 4技",2技,577
"辑备","拌","0 ~ 4技",3技,629
"辑备","拌","0 ~ 4技",4技,735
"辑备","拌","5 ~ 9技",家拌,4250
"辑备","拌","5 ~ 9技",5技,828
"辑备","拌","5 ~ 9技",6技,776
"辑备","拌","5 ~ 9技",7技,830
"辑备","拌","5 ~ 9技",8技,905
"辑备","拌","5 ~ 9技",9技,911
"辑备","拌","10 ~ 14技",家拌,4542
"辑备","拌","10 ~ 14技",10技,965
"辑备","拌","10 ~ 14技",11技,803
"辑备","拌","10 ~ 14技",12技,887
"辑备","拌","10 ~ 14技",13技,949
"辑备","拌","10 ~ 14技",14技,938
"辑备","拌","15 ~ 19技",家拌,5817
"辑备","拌","15 ~ 19技",15技,956
"辑备","拌","15 ~ 19技",16技,1033
"辑备","拌","15 ~ 19技",17技,1161
"辑备","拌","15 ~ 19技",18技,1275
"辑备","拌","15 ~ 19技",19技,1392
"辑备","拌","20 ~ 24技",家拌,9699
"辑备","拌","20 ~ 24技",20技,1824
"辑备","拌","20 ~ 24技",21技,1922
"辑备","拌","20 ~ 24技",22技,1790
"辑备","拌","20 ~ 24技",23技,2016
"辑备","拌","20 ~ 24技",24技,2147
"辑备","拌","25 ~ 29技",家拌,11833
"辑备","拌","25 ~ 29技",25技,2342
"辑备","拌","25 ~ 29技",26技,2380
"辑备","拌","25 ~ 29技",27技,2332
"辑备","拌","25 ~ 29技",28技,2445
"辑备","拌","25 ~ 29技",29技,2334
"辑备","拌","30 ~ 34技",家拌,8846
"辑备","拌","30 ~ 34技",30技,2011
"辑备","拌","30 ~ 34技",31技,1897
"辑备","拌","30 ~ 34技",32技,1760
"辑备","拌","30 ~ 34技",33技,1575
"辑备","拌","30 ~ 34技",34技,1603
"辑备","拌","35 ~ 39技",家拌,8596
"辑备","拌","35 ~ 39技",35技,1588
"辑备","拌","35 ~ 39技",36技,1487
"辑备","拌","35 ~ 39技",37技,1633
"辑备","拌","35 ~ 39技",38技,1924
"辑备","拌","35 ~ 39技",39技,1964
"辑备","拌","40 ~ 44技",家拌,10021
"辑备","拌","40 ~ 44技",40技,2052
"辑备","拌","40 ~ 44技",41技,2084
"辑备","拌","40 ~ 44技",42技,1996
"辑备","拌","40 ~ 44技",43技,1858
